Evening Of,Morning Of,Time to go to bed,Time to fall asleep,Time to wake up,Time to get out of bed
11/11/2018,11/12/2018,12:30 AM,1:00 AM,8:30 AM,9:00 AM
11/12/2018,11/13/2018,11:45 PM,12:15 AM,9:00 AM,9:45 AM
11/13/2018,11/14/2018,11:30 PM,12:00 AM,7:30 AM,10:00 AM
11/14/2018,11/15/2018,12:15 AM,1:15 AM,8:00 AM,9:15 AM
11/15/2018,11/16/2018,12:15 AM,12:45 AM,9:00 AM,10:00 AM
11/16/2018,11/17/2018,12:00 AM,1:15 AM,8:00 AM,8:00 AM
11/17/2018,11/18/2018,12:30 AM,1:00 AM,9:30 AM,1:00 PM
11/18/2018,11/19/2018,12:30 AM,1:15 AM,8:00 AM,9:30 AM
11/19/2018,11/20/2018,11:45 PM,12:00 AM,7:30 AM,7:30 AM
11/20/2018,11/21/2018,12:15 AM,12:45 AM,8:45 AM,9:15 AM
11/21/2018,11/22/2018,12:15 AM,12:30 AM,9:00 AM,9:30 AM
11/22/2018,11/23/2018,11:30 PM,1:00 AM,9:00 AM,10:30 AM
11/23/2018,11/24/2018,12:15 AM,1:00 AM,10:45 AM,11:30 AM
11/24/2018,11/25/2018,12:45 AM,1:30 AM,9:00 AM,9:30 AM
11/25/2018,11/26/2018,12:00 AM,1:30 AM,10:00 AM,11:15 AM
11/26/2018,11/27/2018,12:00 AM,12:45 AM,8:00 AM,11:00 AM
11/27/2018,11/28/2018,12:00 AM,1:00 AM,8:00 AM,9:30 AM
11/28/2018,11/29/2018,12:30 AM,2:15 AM,7:30 AM,9:45 AM
11/29/2018,11/30/2018,12:30 AM,1:00 AM,7:15 AM,9:45 AM
11/30/2018,12/01/2018,1:45 AM,2:15 AM,7:45 AM,11:00 AM
12/01/2018,12/02/2018,1:30 AM,2:30 AM,10:15 AM,11:45 AM
12/02/2018,12/03/2018,11:45 PM,12:00 AM,9:00 AM,10:00 AM
12/03/2018,12/04/2018,12:15 AM,12:45 AM,8:15 AM,8:15 AM
12/04/2018,12/05/2018,12:15 AM,1:15 AM,8:00 AM,8:45 AM
12/05/2018,12/06/2018,11:45 PM,1:00 AM,9:00 AM,9:15 AM
12/06/2018,12/07/2018,12:00 AM,1:00 AM,8:00 AM,9:00 AM
12/07/2018,12/08/2018,1:15 AM,1:30 AM,9:30 AM,10:15 AM
12/08/2018,12/09/2018,12:15 AM,12:30 AM,9:30 AM,9:30 AM
12/09/2018,12/10/2018,12:15 AM,12:45 AM,7:30 AM,7:45 AM
12/10/2018,12/11/2018,1:00 AM,1:15 AM,8:00 AM,9:30 AM
12/11/2018,12/12/2018,12:45 AM,1:30 AM,7:30 AM,9:00 AM
12/12/2018,12/13/2018,12:00 AM,12:45 AM,8:30 AM,10:00 AM
12/13/2018,12/14/2018,12:45 AM,1:15 AM,8:00 AM,8:30 AM
12/14/2018,12/15/2018,12:00 AM,1:15 AM,7:30 AM,8:30 AM
12/15/2018,12/16/2018,12:30 AM,1:00 AM,8:00 AM,10:30 AM
12/16/2018,12/17/2018,10:30 PM,10:45 PM,7:30 AM,9:45 AM
12/17/2018,12/18/2018,1:30 AM,1:45 AM,8:30 AM,9:30 AM
12/18/2018,12/19/2018,1:15 AM,2:30 AM,8:30 AM,9:30 AM
12/19/2018,12/20/2018,1:00 AM,1:15 AM,8:30 AM,9:30 AM
12/20/2018,12/21/2018,1:30 AM,2:00 AM,8:30 AM,9:45 AM
12/21/2018,12/22/2018,12:30 AM,1:30 AM,7:30 AM,8:00 AM
12/22/2018,12/23/2018,12:00 AM,12:30 AM,9:30 AM,9:30 AM
12/23/2018,12/24/2018,12:00 AM,1:15 AM,9:00 AM,10:45 AM
12/24/2018,12/25/2018,12:00 AM,12:15 AM,10:00 AM,11:00 AM
12/25/2018,12/26/2018,12:15 AM,12:45 AM,8:30 AM,9:15 AM
12/26/2018,12/27/2018,12:15 AM,12:45 AM,11:00 AM,11:15 AM
12/27/2018,12/28/2018,12:15 AM,1:30 AM,10:00 AM,10:45 AM
12/28/2018,12/29/2018,11:15 PM,1:30 AM,10:30 AM,11:00 AM
12/29/2018,12/30/2018,12:00 PM,1:30 AM,9:30 AM,10:30 AM
12/30/2018,12/31/2018,12:30 AM,1:30 AM,9:15 AM,10:30 AM
12/31/2018,01/01/2019,12:45 AM,1:15 AM,10:30 AM,11:45 AM
